item,type,metadata standard
Universal Declaration of Human Rights,full-text document,Dublin Core
Draft outline of International Bill of Rights,archival document,Dublin Core
UN Photo of Eleanor Roosevelt holding UDHR poster,photograph,Schema.org
Book «A World Made New: Eleanor Roosevelt...»,book,MARC-XML
Free Composition; 50th Anniversary of Human Rights Declaration; Republic of Cyprus,stamp,Dublin Core + EDM
Eleanor Roosevelt Reads the Universal Declaration of Human Rights,audio object,Music Ontology*
Poster Depicting Universal Declaration of Human Rights,poster,Schema.org
Status of Ratification Interactive Dashboard,map,DCAT*
Palais de Chaillot,building,MARC21
Way of Human Rights,sculpture,MARC21